trk_0001.wav|Merhaba, bugün havalar sakin ama serin.
trk_0002.wav|Hâlâ yağmur yağıyor ve yollar ıslak.
trk_0003.wav|Öğle arasında çiçekçi sokağını gezdim.
trk_0004.wav|Küçük kediyi kütüphanenin köşesinde buldum.
trk_0005.wav|Yağmur, rüzgâr ve gök gürültüsü akşamüstü dinecek.
trk_0006.wav|Şaşkın çocuk çilek reçelini çekmecede unuttu.
trk_0007.wav|Çiçekçi üçüncü çiçeği çabucak değiştirdi.
trk_0008.wav|Jale jurnal tutmayı seviyor ve ajandasını her gün yazıyor.
trk_0009.wav|Soğuk öğleden sonra gölün üstü sisle örtüldü.
trk_0010.wav|Eğilmiş söğüt ağacı yola doğru sarkıyor.
trk_0011.wav|Kar, kâr ve karar kelimelerini dikkatle telaffuz ediyorum.
trk_0012.wav|Hala burada mısın, yoksa hâlâ yoldayım mı demek istedin?
trk_0013.wav|Yedi yeni yetenek yarın atölyeye katılacak.
trk_0014.wav|Bilgisayar psikoloji yazısını mükemmeliyet yerine yeterince iyi diye önerdi.
trk_0015.wav|İstikrar sağlanırsa sonuçlar daha güvenilir olur.
